RespondentNr,StimulusNr,timestamp ms,Gaze x %,Gaze y %
11,0,18369,0.175,0.558
11,0,18403,0.068,0.516
11,0,18436,0.021,0.487
11,0,18470,0.028,0.533
11,0,18504,0.02,0.531
11,0,18536,0.018,0.532
11,0,18570,-0.003,0.543
11,0,18603,0.011,0.556
11,0,18636,0.004,0.559
11,0,18669,0.017,0.591
11,0,18703,-0.006,0.594
11,0,18736,0.211,0.708
11,0,18836,0.092,0.787
11,0,18869,0.053,0.744
11,0,18903,0.019,0.725
11,0,19171,0.103,0.878
11,0,19203,0.199,0.891
11,0,19237,0.33,0.893
11,0,19270,0.41,0.91
11,0,19303,0.422,0.929
11,0,19337,0.504,0.918
11,0,19370,0.589,0.889
11,0,19403,0.549,0.898
11,0,19436,0.54,0.899
11,0,19471,0.57,0.892
11,0,19503,0.542,0.88
11,0,19537,0.508,0.874
11,0,19570,0.517,0.875
11,0,19603,0.536,0.865
11,0,19637,0.565,0.879
11,0,19670,0.573,0.871
11,0,19703,0.58,0.876
11,0,19736,0.585,0.867
11,0,19770,0.594,0.869
11,0,19803,0.602,0.874
11,0,19837,0.698,0.864
11,0,19869,0.774,0.873
11,0,19903,0.806,0.822
11,0,19936,0.813,0.808
11,0,19970,0.833,0.823
11,0,20004,0.836,0.81
11,0,20036,0.846,0.822
11,0,20070,0.805,0.831
11,0,20103,0.811,0.811
11,0,20137,0.804,0.801
11,0,20170,0.808,0.788
11,0,20203,0.818,0.788
11,0,20237,0.845,0.79
11,0,20269,0.857,0.786
11,0,20304,0.846,0.783
11,0,20336,0.847,0.764
11,0,20370,0.878,0.758
11,0,20403,0.876,0.744
11,0,20437,0.865,0.741
11,0,20470,0.859,0.739
11,0,20504,0.891,0.742
11,0,20536,0.892,0.734
11,0,20570,0.883,0.717
11,0,20603,0.911,0.714
11,0,20636,0.935,0.739
11,0,20670,0.908,0.739
11,0,20703,0.931,0.756
11,0,20736,0.926,0.767
11,0,20770,0.935,0.764
11,0,20803,0.94,0.77
11,0,20836,0.943,0.757
11,0,20870,0.938,0.757
11,0,20903,0.94,0.759
11,0,20937,0.952,0.751
11,0,20970,0.943,0.73
11,0,21003,0.95,0.711
11,0,21037,0.957,0.687
11,0,21069,0.996,0.526
11,0,21103,1.003,0.531
11,0,21137,1.012,0.557
11,0,21170,1.027,0.553
11,0,21203,1.035,0.537
11,0,21236,1.063,0.51
11,0,21270,1.083,0.486
11,0,21304,1.081,0.488
11,0,21337,1.087,0.468
11,0,21370,1.076,0.456
11,0,21403,1.065,0.448
11,0,21436,1.049,0.434
11,0,21471,1.03,0.429
11,0,21502,0.984,0.342
11,0,21536,0.876,0.317
11,0,21569,0.758,0.29
11,0,21603,0.73,0.267
11,0,21636,0.704,0.255
11,0,21670,0.656,0.229
11,0,21703,0.567,0.211
11,0,21736,0.465,0.197
11,0,21770,0.444,0.195
11,0,21801,0.423,0.196
11,0,21837,0.407,0.194
11,0,21870,0.395,0.191
11,0,21903,0.385,0.188
11,0,21937,0.366,0.182
11,0,21970,0.359,0.179
11,0,22003,0.355,0.178
11,0,22036,0.351,0.179
11,0,22070,0.342,0.185
11,0,22103,0.337,0.194
11,0,22136,0.321,0.208
11,0,22170,0.254,0.354
11,0,22203,0.259,0.377
11,0,22236,0.287,0.435
11,0,22270,0.311,0.447
11,0,22303,0.228,0.397
11,0,22337,0.207,0.393
